paper_id,MethodTag__agent_A,MethodFamily__agent_A,Methodology__agent_A,MethodTransparency__agent_A,MethodNormativity__agent_A,coder_notes_rule_code__agent_A,MethodTag__agent_B,MethodFamily__agent_B,Methodology__agent_B,MethodTransparency__agent_B,MethodNormativity__agent_B,coder_notes_rule_code__agent_B,MethodTag__agent_C,MethodFamily__agent_C,Methodology__agent_C,MethodTransparency__agent_C,MethodNormativity__agent_C,coder_notes_rule_code__agent_C,MethodTag__agent_D,MethodFamily__agent_D,Methodology__agent_D,MethodTransparency__agent_D,MethodNormativity__agent_D,coder_notes_rule_code__agent_D
1,40,199,1,1,1,902,20,102,3,1,2,906,20,102,3,1,1,906,20,102,3,1,2,906
2,40,199,1,1,1,902,20,102,3,1,2,906,20,102,3,1,1,906,20,102,3,1,1,906
3,10,199,1,1,1,902,20,103,3,1,2,908,20,102,3,1,1,906,20,102,3,1,1,906
4,40,199,1,1,1,902,20,102,3,1,2,906,20,102,3,1,1,906,20,102,3,1,1,906
5,10,199,1,1,1,902,20,103,3,1,2,908,40,199,1,1,1,902,10,199,1,1,1,902
6,40,199,1,1,1,902,20,102,3,1,2,906,40,199,1,1,1,902,20,102,3,1,1,906
7,10,199,1,1,1,902,20,101,3,1,2,905,30,107,2,1,2,909,10,199,1,1,1,902
8,30,107,2,3,2,909,20,105,2,3,2,907,30,107,2,1,2,909,30,107,2,3,1,909
9,10,199,1,1,1,902,20,101,3,1,2,905,30,107,2,1,2,909,10,199,1,1,1,902
10,40,199,1,1,1,902,20,102,3,1,2,906,20,102,3,1,1,906,20,102,3,1,1,906
11,10,199,1,1,1,902,20,101,3,1,2,905,20,102,3,1,1,906,20,102,3,1,1,906
12,40,199,1,1,1,902,20,102,3,1,2,906,20,102,3,1,1,906,20,102,3,1,2,906
13,10,199,1,1,1,902,20,101,3,1,2,905,10,199,1,0,1,902,20,105,2,2,1,907
14,20,102,3,2,2,906,20,102,3,1,2,906,10,199,1,0,1,902,20,106,3,2,2,904
15,20,102,3,3,2,906,20,102,3,1,2,906,30,107,2,1,2,909,20,102,3,1,2,906
16,20,102,3,1,2,906,20,105,2,2,2,907,30,107,2,1,2,909,10,199,1,1,1,902
17,20,102,3,2,2,906,20,102,3,1,2,906,30,107,2,1,2,909,20,105,2,2,2,907
18,40,199,1,2,1,902,20,102,3,1,2,906,20,106,3,1,2,904,20,102,3,1,1,906
19,10,199,1,1,1,902,20,101,3,1,2,905,20,106,3,1,2,904,20,105,2,2,2,907
20,20,102,3,2,2,906,20,101,3,1,2,905,20,105,2,1,2,907,20,105,2,2,2,907
21,20,102,3,2,2,906,20,102,3,1,2,906,20,102,3,0,1,906,20,105,2,2,2,907
22,20,102,3,2,2,906,20,102,3,1,2,906,20,102,3,0,1,906,20,105,2,2,2,907
23,20,102,3,2,2,906,20,102,3,1,2,906,20,102,3,0,1,906,20,102,3,1,1,906
24,20,102,3,2,2,906,20,102,3,1,2,906,20,102,3,0,1,906,20,102,3,1,2,906
25,20,102,3,2,2,906,20,102,3,1,2,906,20,102,3,2,2,906,20,102,3,1,2,906
26,20,102,3,3,2,906,20,101,3,1,2,905,20,102,3,2,2,906,10,199,1,1,1,902
27,20,102,3,2,2,906,20,102,3,1,2,906,20,102,3,2,2,906,20,102,3,1,2,906
28,20,102,3,3,2,906,20,102,3,1,2,906,20,102,3,2,2,906,10,199,1,1,1,902
29,20,102,3,3,2,906,20,102,3,1,2,906,20,102,3,2,2,906,20,102,3,1,1,906
30,20,102,3,2,2,906,20,102,3,1,2,906,20,102,3,2,2,906,20,105,2,2,2,907
31,20,102,3,2,2,906,20,102,3,1,2,906,20,102,3,2,2,906,20,105,2,2,2,907
32,20,102,3,3,2,906,20,102,3,1,2,906,20,102,3,2,2,906,10,199,1,1,1,902
33,20,101,3,2,2,905,20,102,3,1,2,906,20,102,3,2,2,906,20,102,3,1,1,906
34,10,199,1,1,1,902,20,102,3,1,2,906,20,102,3,2,2,906,20,102,3,1,1,906
35,20,102,3,3,2,906,20,102,3,1,2,906,20,102,3,2,2,906,20,102,3,1,1,906
36,20,102,3,3,2,906,20,101,3,1,2,905,20,102,3,2,2,906,20,102,3,1,1,906
37,20,102,3,3,2,906,20,102,3,1,2,906,20,102,3,2,2,906,10,199,1,1,1,902
38,20,102,3,3,2,906,20,102,3,1,2,906,20,102,3,2,2,906,10,199,1,1,1,902
39,20,102,3,3,2,906,20,102,3,1,2,906,20,102,3,2,2,906,20,105,2,2,2,907
40,20,102,3,3,2,906,20,102,3,1,2,906,20,102,3,2,2,906,30,107,2,2,2,909
41,20,101,3,2,2,905,20,101,3,1,2,905,20,102,3,2,2,906,20,105,2,2,2,907
42,20,102,3,3,2,906,20,101,3,1,2,905,20,102,3,2,2,906,20,105,2,2,2,907
43,20,102,3,2,2,906,20,101,3,1,2,905,20,102,3,2,2,906,20,102,3,1,1,906
44,20,101,3,3,2,905,20,101,3,1,2,905,20,102,3,2,2,906,20,102,3,1,2,906
45,20,101,3,3,2,905,20,102,3,1,2,906,20,102,3,2,2,906,10,199,1,1,1,902
46,20,101,3,3,2,905,20,101,3,1,2,905,20,102,3,2,2,906,20,102,3,1,2,906
47,20,102,3,3,2,906,20,102,3,1,2,906,20,102,3,2,2,906,20,102,3,1,2,906
48,20,102,3,2,2,906,20,102,3,1,2,906,20,102,3,2,2,906,30,107,2,2,2,909
49,20,102,3,2,2,906,20,101,3,2,2,905,20,102,3,2,2,906,20,102,3,1,1,906
50,20,102,3,2,2,906,20,102,3,1,2,906,20,102,3,2,2,906,20,105,2,2,2,907
51,10,199,1,1,1,902,20,101,3,2,2,905,20,102,3,2,2,906,20,105,2,2,2,907
52,10,199,1,2,1,902,20,102,3,1,2,906,20,102,3,2,2,906,20,105,2,2,2,907
53,10,199,1,2,1,902,20,101,3,1,2,905,20,102,3,2,2,906,20,105,2,2,2,907
54,10,199,1,2,1,902,20,101,3,2,2,905,20,102,3,2,2,906,20,102,3,1,1,906
55,10,199,1,2,1,902,20,101,3,1,2,905,20,102,3,2,2,906,20,105,2,2,2,907
56,10,199,1,2,1,902,20,101,3,1,2,905,20,102,3,2,2,906,20,102,3,1,2,906
57,10,199,1,2,1,902,20,102,3,1,2,906,20,102,3,2,2,906,20,102,3,1,2,906
58,10,199,1,2,1,902,20,102,3,1,2,906,20,102,3,2,2,906,30,107,2,2,2,909
59,20,102,3,2,2,906,20,102,3,1,2,906,20,102,3,2,2,906,30,107,2,2,2,909
60,20,102,3,2,2,906,20,102,3,1,2,906,20,102,3,2,2,906,10,199,1,1,1,902
61,10,199,1,2,1,902,20,101,3,2,2,905,20,102,3,2,2,906,20,105,2,2,2,907
62,20,102,3,2,2,906,20,102,3,1,2,906,10,199,1,0,1,902,20,102,3,1,2,906
63,20,102,3,2,2,906,20,101,3,2,2,905,40,199,1,0,1,902,10,199,1,1,1,902
64,10,199,1,2,1,902,20,102,3,1,2,906,40,199,1,0,1,902,20,105,2,2,2,907
65,20,102,3,2,2,906,20,102,3,1,2,906,40,199,1,0,1,902,30,107,2,2,2,909
66,20,101,3,2,2,905,20,102,3,1,2,906,40,199,1,0,1,902,20,105,2,2,2,907
67,20,101,3,2,2,905,20,101,3,1,2,905,40,199,1,0,1,902,20,102,3,1,2,906
68,20,102,3,2,2,906,20,102,3,1,2,906,30,107,2,0,2,909,20,102,3,1,2,906
69,20,102,3,2,2,906,20,102,3,1,2,906,30,107,2,0,2,909,20,105,2,2,2,907
70,20,102,3,1,2,906,20,101,3,2,2,905,30,107,2,0,2,909,20,105,2,2,2,907
71,20,102,3,1,2,906,20,101,3,2,2,905,30,107,2,0,2,909,20,105,2,2,2,907
72,30,107,2,2,2,909,20,101,3,2,2,905,30,107,2,0,2,909,20,102,3,1,2,906
73,30,107,2,2,2,909,20,101,3,2,2,905,30,107,2,0,2,909,20,105,2,2,2,907
74,30,107,2,2,2,909,20,101,3,1,2,905,30,107,2,0,2,909,20,105,2,2,2,907
75,30,107,2,2,2,909,20,102,3,1,2,906,30,107,2,0,2,909,10,199,1,1,1,902
76,30,107,2,2,2,909,20,101,3,2,2,905,30,107,2,0,2,909,20,105,4,2,2,903
77,30,107,2,2,2,909,20,102,3,1,2,906,30,107,2,0,2,909,20,105,2,2,2,907
78,20,102,3,2,2,906,20,102,3,1,2,906,30,107,2,0,2,909,20,103,3,1,1,908
79,20,103,3,2,2,908,20,101,3,2,2,905,20,103,3,0,2,908,20,105,2,2,2,907
80,20,102,3,1,2,906,20,102,3,1,2,906,20,102,3,1,1,906,10,199,1,1,1,902
