paper_id,variable,change_type,before,after,reason,fixed_at
16,MethodFamily,tie_to_stalemate,"{'pc': 199.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
19,MethodFamily,tie_to_stalemate,"{'pc': 199.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
51,MethodFamily,tie_to_stalemate,"{'pc': 199.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
53,MethodFamily,tie_to_stalemate,"{'pc': 199.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
55,MethodFamily,tie_to_stalemate,"{'pc': 199.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
61,MethodFamily,tie_to_stalemate,"{'pc': 199.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
66,MethodFamily,tie_to_stalemate,"{'pc': 199.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
70,MethodFamily,tie_to_stalemate,"{'pc': 102.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
71,MethodFamily,tie_to_stalemate,"{'pc': 102.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
16,coder_notes_rule_code,tie_to_stalemate,"{'pc': 906.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
19,coder_notes_rule_code,tie_to_stalemate,"{'pc': 902.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
51,coder_notes_rule_code,tie_to_stalemate,"{'pc': 906.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
53,coder_notes_rule_code,tie_to_stalemate,"{'pc': 906.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
55,coder_notes_rule_code,tie_to_stalemate,"{'pc': 906.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
61,coder_notes_rule_code,tie_to_stalemate,"{'pc': 906.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
66,coder_notes_rule_code,tie_to_stalemate,"{'pc': 906.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
70,coder_notes_rule_code,tie_to_stalemate,"{'pc': 906.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
71,coder_notes_rule_code,tie_to_stalemate,"{'pc': 906.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
6,MethodFamily,tie_to_stalemate,"{'pc': nan, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
44,MethodFamily,tie_to_stalemate,"{'pc': nan, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
46,MethodFamily,tie_to_stalemate,"{'pc': nan, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
6,MethodTag,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
13,MethodTag,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
72,MethodTag,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
73,MethodTag,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
74,MethodTag,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
76,MethodTag,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
77,MethodTag,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
6,Methodology,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
17,Methodology,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
20,Methodology,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
63,Methodology,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
69,Methodology,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
70,Methodology,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
71,Methodology,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
72,Methodology,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
6,coder_notes_rule_code,tie_to_stalemate,"{'pc': nan, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
44,coder_notes_rule_code,tie_to_stalemate,"{'pc': nan, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
46,coder_notes_rule_code,tie_to_stalemate,"{'pc': nan, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
1,MethodNormativity,tie_to_stalemate,"{'pc': 1.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
7,MethodNormativity,tie_to_stalemate,"{'pc': 1.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
9,MethodNormativity,tie_to_stalemate,"{'pc': 1.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
12,MethodNormativity,tie_to_stalemate,"{'pc': 1.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
18,MethodNormativity,tie_to_stalemate,"{'pc': 1.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
23,MethodNormativity,tie_to_stalemate,"{'pc': 2.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
34,MethodNormativity,tie_to_stalemate,"{'pc': 1.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
54,MethodNormativity,tie_to_stalemate,"{'pc': 1.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
63,MethodNormativity,tie_to_stalemate,"{'pc': 2.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
64,MethodNormativity,tie_to_stalemate,"{'pc': 1.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
80,MethodNormativity,tie_to_stalemate,"{'pc': 2.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
16,MethodTransparency,fill_missing_decision,"{'pc': nan, 'dec': nan}","{'pc': 1.0, 'dec': '多数'}",缺失决策类型，依多数票补齐,2025-10-07T08:25:36Z
17,MethodTransparency,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
18,MethodTransparency,fill_missing_decision,"{'pc': nan, 'dec': nan}","{'pc': 1.0, 'dec': '多数'}",缺失决策类型，依多数票补齐,2025-10-07T08:25:36Z
19,MethodTransparency,fill_missing_decision,"{'pc': nan, 'dec': nan}","{'pc': 1.0, 'dec': '多数'}",缺失决策类型，依多数票补齐,2025-10-07T08:25:36Z
20,MethodTransparency,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
25,MethodTransparency,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
27,MethodTransparency,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
30,MethodTransparency,fill_missing_decision,"{'pc': nan, 'dec': nan}","{'pc': 2.0, 'dec': '多数'}",缺失决策类型，依多数票补齐,2025-10-07T08:25:36Z
31,MethodTransparency,fill_missing_decision,"{'pc': nan, 'dec': nan}","{'pc': 2.0, 'dec': '多数'}",缺失决策类型，依多数票补齐,2025-10-07T08:25:36Z
33,MethodTransparency,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
34,MethodTransparency,fill_missing_decision,"{'pc': nan, 'dec': nan}","{'pc': 1.0, 'dec': '多数'}",缺失决策类型，依多数票补齐,2025-10-07T08:25:36Z
41,MethodTransparency,fill_missing_decision,"{'pc': nan, 'dec': nan}","{'pc': 2.0, 'dec': '多数'}",缺失决策类型，依多数票补齐,2025-10-07T08:25:36Z
43,MethodTransparency,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
48,MethodTransparency,fill_missing_decision,"{'pc': nan, 'dec': nan}","{'pc': 2.0, 'dec': '多数'}",缺失决策类型，依多数票补齐,2025-10-07T08:25:36Z
49,MethodTransparency,fill_missing_decision,"{'pc': nan, 'dec': nan}","{'pc': 2.0, 'dec': '多数'}",缺失决策类型，依多数票补齐,2025-10-07T08:25:36Z
50,MethodTransparency,fill_missing_decision,"{'pc': nan, 'dec': nan}","{'pc': 2.0, 'dec': '多数'}",缺失决策类型，依多数票补齐,2025-10-07T08:25:36Z
51,MethodTransparency,fill_missing_decision,"{'pc': nan, 'dec': nan}","{'pc': 2.0, 'dec': '多数'}",缺失决策类型，依多数票补齐,2025-10-07T08:25:36Z
52,MethodTransparency,fill_missing_decision,"{'pc': nan, 'dec': nan}","{'pc': 2.0, 'dec': '多数'}",缺失决策类型，依多数票补齐,2025-10-07T08:25:36Z
53,MethodTransparency,fill_missing_decision,"{'pc': nan, 'dec': nan}","{'pc': 2.0, 'dec': '多数'}",缺失决策类型，依多数票补齐,2025-10-07T08:25:36Z
54,MethodTransparency,fill_missing_decision,"{'pc': nan, 'dec': nan}","{'pc': 2.0, 'dec': '多数'}",缺失决策类型，依多数票补齐,2025-10-07T08:25:36Z
55,MethodTransparency,fill_missing_decision,"{'pc': nan, 'dec': nan}","{'pc': 2.0, 'dec': '多数'}",缺失决策类型，依多数票补齐,2025-10-07T08:25:36Z
56,MethodTransparency,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
57,MethodTransparency,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
58,MethodTransparency,fill_missing_decision,"{'pc': nan, 'dec': nan}","{'pc': 2.0, 'dec': '多数'}",缺失决策类型，依多数票补齐,2025-10-07T08:25:36Z
59,MethodTransparency,fill_missing_decision,"{'pc': nan, 'dec': nan}","{'pc': 2.0, 'dec': '多数'}",缺失决策类型，依多数票补齐,2025-10-07T08:25:36Z
60,MethodTransparency,tie_to_stalemate,"{'pc': nan, 'dec': nan}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
