paper_id,variable,votes,majority,proposed_consensus,decision_type,tie_votes,mismatch_pc_vs_majority,flag_reason,source_file
16,MethodFamily,"[102, 105, 107, 199]",102,199.0,多数,True,True,tie_marked_as_majority,process
19,MethodFamily,"[199, 101, 106, 105]",199,199.0,多数,True,False,tie_marked_as_majority,process
51,MethodFamily,"[199, 101, 102, 105]",199,199.0,多数,True,False,tie_marked_as_majority,process
53,MethodFamily,"[199, 101, 102, 105]",199,199.0,多数,True,False,tie_marked_as_majority,process
55,MethodFamily,"[199, 101, 102, 105]",199,199.0,多数,True,False,tie_marked_as_majority,process
61,MethodFamily,"[199, 101, 102, 105]",199,199.0,多数,True,False,tie_marked_as_majority,process
66,MethodFamily,"[101, 102, 199, 105]",101,199.0,多数,True,True,tie_marked_as_majority,process
70,MethodFamily,"[102, 101, 107, 105]",102,102.0,多数,True,False,tie_marked_as_majority,process
71,MethodFamily,"[102, 101, 107, 105]",102,102.0,多数,True,False,tie_marked_as_majority,process
16,coder_notes_rule_code,"[906, 907, 909, 902]",906,906.0,多数,True,False,tie_marked_as_majority,process
19,coder_notes_rule_code,"[902, 905, 904, 907]",902,902.0,多数,True,False,tie_marked_as_majority,process
51,coder_notes_rule_code,"[902, 905, 906, 907]",902,906.0,多数,True,True,tie_marked_as_majority,process
53,coder_notes_rule_code,"[902, 905, 906, 907]",902,906.0,多数,True,True,tie_marked_as_majority,process
55,coder_notes_rule_code,"[902, 905, 906, 907]",902,906.0,多数,True,True,tie_marked_as_majority,process
61,coder_notes_rule_code,"[902, 905, 906, 907]",902,906.0,多数,True,True,tie_marked_as_majority,process
66,coder_notes_rule_code,"[905, 906, 902, 907]",905,906.0,多数,True,True,tie_marked_as_majority,process
70,coder_notes_rule_code,"[906, 905, 909, 907]",906,906.0,多数,True,False,tie_marked_as_majority,process
71,coder_notes_rule_code,"[906, 905, 909, 907]",906,906.0,多数,True,False,tie_marked_as_majority,process
6,MethodFamily,"[199, 102, 199, 102]",199,,多数,True,True,tie_marked_as_majority,process
44,MethodFamily,"[101, 101, 102, 102]",101,,多数,True,True,tie_marked_as_majority,process
46,MethodFamily,"[101, 101, 102, 102]",101,,多数,True,True,tie_marked_as_majority,process
6,MethodTag,"[40, 20, 40, 20]",40,,,True,True,proposed_mismatch_majority,process
13,MethodTag,"[10, 20, 10, 20]",10,,,True,True,proposed_mismatch_majority,process
72,MethodTag,"[30, 20, 30, 20]",30,,,True,True,proposed_mismatch_majority,process
73,MethodTag,"[30, 20, 30, 20]",30,,,True,True,proposed_mismatch_majority,process
74,MethodTag,"[30, 20, 30, 20]",30,,,True,True,proposed_mismatch_majority,process
76,MethodTag,"[30, 20, 30, 20]",30,,,True,True,proposed_mismatch_majority,process
77,MethodTag,"[30, 20, 30, 20]",30,,,True,True,proposed_mismatch_majority,process
6,Methodology,"[1, 3, 1, 3]",1,,,True,True,proposed_mismatch_majority,process
17,Methodology,"[3, 3, 2, 2]",3,,,True,True,proposed_mismatch_majority,process
20,Methodology,"[3, 3, 2, 2]",3,,,True,True,proposed_mismatch_majority,process
63,Methodology,"[3, 3, 1, 1]",3,,,True,True,proposed_mismatch_majority,process
69,Methodology,"[3, 3, 2, 2]",3,,,True,True,proposed_mismatch_majority,process
70,Methodology,"[3, 3, 2, 2]",3,,,True,True,proposed_mismatch_majority,process
71,Methodology,"[3, 3, 2, 2]",3,,,True,True,proposed_mismatch_majority,process
72,Methodology,"[2, 3, 2, 3]",2,,,True,True,proposed_mismatch_majority,process
6,coder_notes_rule_code,"[902, 906, 902, 906]",902,,多数,True,True,tie_marked_as_majority,process
44,coder_notes_rule_code,"[905, 905, 906, 906]",905,,多数,True,True,tie_marked_as_majority,process
46,coder_notes_rule_code,"[905, 905, 906, 906]",905,,多数,True,True,tie_marked_as_majority,process
1,MethodNormativity,"[1, 2, 1, 2]",1,1.0,多数,True,False,tie_marked_as_majority,process
7,MethodNormativity,"[1, 2, 2, 1]",1,1.0,多数,True,False,tie_marked_as_majority,process
9,MethodNormativity,"[1, 2, 2, 1]",1,1.0,多数,True,False,tie_marked_as_majority,process
12,MethodNormativity,"[1, 2, 1, 2]",1,1.0,多数,True,False,tie_marked_as_majority,process
18,MethodNormativity,"[1, 2, 2, 1]",1,1.0,多数,True,False,tie_marked_as_majority,process
23,MethodNormativity,"[2, 2, 1, 1]",2,2.0,多数,True,False,tie_marked_as_majority,process
34,MethodNormativity,"[1, 2, 2, 1]",1,1.0,多数,True,False,tie_marked_as_majority,process
54,MethodNormativity,"[1, 2, 2, 1]",1,1.0,多数,True,False,tie_marked_as_majority,process
63,MethodNormativity,"[2, 2, 1, 1]",2,2.0,多数,True,False,tie_marked_as_majority,process
64,MethodNormativity,"[1, 2, 1, 2]",1,1.0,多数,True,False,tie_marked_as_majority,process
80,MethodNormativity,"[2, 2, 1, 1]",2,2.0,多数,True,False,tie_marked_as_majority,process
16,MethodTransparency,"[1, 2, 1, 1]",1,,,False,True,proposed_mismatch_majority,process
17,MethodTransparency,"[2, 1, 1, 2]",2,,,True,True,proposed_mismatch_majority,process
18,MethodTransparency,"[2, 1, 1, 1]",1,,,False,True,proposed_mismatch_majority,process
19,MethodTransparency,"[1, 1, 1, 2]",1,,,False,True,proposed_mismatch_majority,process
20,MethodTransparency,"[2, 1, 1, 2]",2,,,True,True,proposed_mismatch_majority,process
25,MethodTransparency,"[2, 1, 2, 1]",2,,,True,True,proposed_mismatch_majority,process
27,MethodTransparency,"[2, 1, 2, 1]",2,,,True,True,proposed_mismatch_majority,process
30,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,process
31,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,process
33,MethodTransparency,"[2, 1, 2, 1]",2,,,True,True,proposed_mismatch_majority,process
34,MethodTransparency,"[1, 1, 2, 1]",1,,,False,True,proposed_mismatch_majority,process
41,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,process
43,MethodTransparency,"[2, 1, 2, 1]",2,,,True,True,proposed_mismatch_majority,process
48,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,process
49,MethodTransparency,"[2, 2, 2, 1]",2,,,False,True,proposed_mismatch_majority,process
50,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,process
51,MethodTransparency,"[1, 2, 2, 2]",2,,,False,True,proposed_mismatch_majority,process
52,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,process
53,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,process
54,MethodTransparency,"[2, 2, 2, 1]",2,,,False,True,proposed_mismatch_majority,process
55,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,process
56,MethodTransparency,"[2, 1, 2, 1]",2,,,True,True,proposed_mismatch_majority,process
57,MethodTransparency,"[2, 1, 2, 1]",2,,,True,True,proposed_mismatch_majority,process
58,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,process
59,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,process
60,MethodTransparency,"[2, 1, 2, 1]",2,,,True,True,proposed_mismatch_majority,process
16,MethodFamily,"[102, 105, 107, 199]",102,199.0,多数,True,True,tie_marked_as_majority,result
19,MethodFamily,"[199, 101, 106, 105]",199,199.0,多数,True,False,tie_marked_as_majority,result
51,MethodFamily,"[199, 101, 102, 105]",199,199.0,多数,True,False,tie_marked_as_majority,result
53,MethodFamily,"[199, 101, 102, 105]",199,199.0,多数,True,False,tie_marked_as_majority,result
55,MethodFamily,"[199, 101, 102, 105]",199,199.0,多数,True,False,tie_marked_as_majority,result
61,MethodFamily,"[199, 101, 102, 105]",199,199.0,多数,True,False,tie_marked_as_majority,result
66,MethodFamily,"[101, 102, 199, 105]",101,199.0,多数,True,True,tie_marked_as_majority,result
70,MethodFamily,"[102, 101, 107, 105]",102,102.0,多数,True,False,tie_marked_as_majority,result
71,MethodFamily,"[102, 101, 107, 105]",102,102.0,多数,True,False,tie_marked_as_majority,result
16,coder_notes_rule_code,"[906, 907, 909, 902]",906,906.0,多数,True,False,tie_marked_as_majority,result
19,coder_notes_rule_code,"[902, 905, 904, 907]",902,902.0,多数,True,False,tie_marked_as_majority,result
51,coder_notes_rule_code,"[902, 905, 906, 907]",902,906.0,多数,True,True,tie_marked_as_majority,result
53,coder_notes_rule_code,"[902, 905, 906, 907]",902,906.0,多数,True,True,tie_marked_as_majority,result
55,coder_notes_rule_code,"[902, 905, 906, 907]",902,906.0,多数,True,True,tie_marked_as_majority,result
61,coder_notes_rule_code,"[902, 905, 906, 907]",902,906.0,多数,True,True,tie_marked_as_majority,result
66,coder_notes_rule_code,"[905, 906, 902, 907]",905,906.0,多数,True,True,tie_marked_as_majority,result
70,coder_notes_rule_code,"[906, 905, 909, 907]",906,906.0,多数,True,False,tie_marked_as_majority,result
71,coder_notes_rule_code,"[906, 905, 909, 907]",906,906.0,多数,True,False,tie_marked_as_majority,result
6,MethodFamily,"[199, 102, 199, 102]",199,,多数,True,True,tie_marked_as_majority,result
44,MethodFamily,"[101, 101, 102, 102]",101,,多数,True,True,tie_marked_as_majority,result
46,MethodFamily,"[101, 101, 102, 102]",101,,多数,True,True,tie_marked_as_majority,result
6,MethodTag,"[40, 20, 40, 20]",40,,,True,True,proposed_mismatch_majority,result
13,MethodTag,"[10, 20, 10, 20]",10,,,True,True,proposed_mismatch_majority,result
72,MethodTag,"[30, 20, 30, 20]",30,,,True,True,proposed_mismatch_majority,result
73,MethodTag,"[30, 20, 30, 20]",30,,,True,True,proposed_mismatch_majority,result
74,MethodTag,"[30, 20, 30, 20]",30,,,True,True,proposed_mismatch_majority,result
76,MethodTag,"[30, 20, 30, 20]",30,,,True,True,proposed_mismatch_majority,result
77,MethodTag,"[30, 20, 30, 20]",30,,,True,True,proposed_mismatch_majority,result
6,Methodology,"[1, 3, 1, 3]",1,,,True,True,proposed_mismatch_majority,result
17,Methodology,"[3, 3, 2, 2]",3,,,True,True,proposed_mismatch_majority,result
20,Methodology,"[3, 3, 2, 2]",3,,,True,True,proposed_mismatch_majority,result
63,Methodology,"[3, 3, 1, 1]",3,,,True,True,proposed_mismatch_majority,result
69,Methodology,"[3, 3, 2, 2]",3,,,True,True,proposed_mismatch_majority,result
70,Methodology,"[3, 3, 2, 2]",3,,,True,True,proposed_mismatch_majority,result
71,Methodology,"[3, 3, 2, 2]",3,,,True,True,proposed_mismatch_majority,result
72,Methodology,"[2, 3, 2, 3]",2,,,True,True,proposed_mismatch_majority,result
6,coder_notes_rule_code,"[902, 906, 902, 906]",902,,多数,True,True,tie_marked_as_majority,result
44,coder_notes_rule_code,"[905, 905, 906, 906]",905,,多数,True,True,tie_marked_as_majority,result
46,coder_notes_rule_code,"[905, 905, 906, 906]",905,,多数,True,True,tie_marked_as_majority,result
1,MethodNormativity,"[1, 2, 1, 2]",1,1.0,多数,True,False,tie_marked_as_majority,result
7,MethodNormativity,"[1, 2, 2, 1]",1,1.0,多数,True,False,tie_marked_as_majority,result
9,MethodNormativity,"[1, 2, 2, 1]",1,1.0,多数,True,False,tie_marked_as_majority,result
12,MethodNormativity,"[1, 2, 1, 2]",1,1.0,多数,True,False,tie_marked_as_majority,result
18,MethodNormativity,"[1, 2, 2, 1]",1,1.0,多数,True,False,tie_marked_as_majority,result
23,MethodNormativity,"[2, 2, 1, 1]",2,2.0,多数,True,False,tie_marked_as_majority,result
34,MethodNormativity,"[1, 2, 2, 1]",1,1.0,多数,True,False,tie_marked_as_majority,result
54,MethodNormativity,"[1, 2, 2, 1]",1,1.0,多数,True,False,tie_marked_as_majority,result
63,MethodNormativity,"[2, 2, 1, 1]",2,2.0,多数,True,False,tie_marked_as_majority,result
64,MethodNormativity,"[1, 2, 1, 2]",1,1.0,多数,True,False,tie_marked_as_majority,result
80,MethodNormativity,"[2, 2, 1, 1]",2,2.0,多数,True,False,tie_marked_as_majority,result
16,MethodTransparency,"[1, 2, 1, 1]",1,,,False,True,proposed_mismatch_majority,result
17,MethodTransparency,"[2, 1, 1, 2]",2,,,True,True,proposed_mismatch_majority,result
18,MethodTransparency,"[2, 1, 1, 1]",1,,,False,True,proposed_mismatch_majority,result
19,MethodTransparency,"[1, 1, 1, 2]",1,,,False,True,proposed_mismatch_majority,result
20,MethodTransparency,"[2, 1, 1, 2]",2,,,True,True,proposed_mismatch_majority,result
25,MethodTransparency,"[2, 1, 2, 1]",2,,,True,True,proposed_mismatch_majority,result
27,MethodTransparency,"[2, 1, 2, 1]",2,,,True,True,proposed_mismatch_majority,result
30,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,result
31,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,result
33,MethodTransparency,"[2, 1, 2, 1]",2,,,True,True,proposed_mismatch_majority,result
34,MethodTransparency,"[1, 1, 2, 1]",1,,,False,True,proposed_mismatch_majority,result
41,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,result
43,MethodTransparency,"[2, 1, 2, 1]",2,,,True,True,proposed_mismatch_majority,result
48,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,result
49,MethodTransparency,"[2, 2, 2, 1]",2,,,False,True,proposed_mismatch_majority,result
50,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,result
51,MethodTransparency,"[1, 2, 2, 2]",2,,,False,True,proposed_mismatch_majority,result
52,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,result
53,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,result
54,MethodTransparency,"[2, 2, 2, 1]",2,,,False,True,proposed_mismatch_majority,result
55,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,result
56,MethodTransparency,"[2, 1, 2, 1]",2,,,True,True,proposed_mismatch_majority,result
57,MethodTransparency,"[2, 1, 2, 1]",2,,,True,True,proposed_mismatch_majority,result
58,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,result
59,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,result
60,MethodTransparency,"[2, 1, 2, 1]",2,,,True,True,proposed_mismatch_majority,result
