paper_id	variable	suggested_anchor	note
16	MethodFamily	E0	边界样本证据：比较维度/对照基准/互证机制 或 注记触发 A/B/C/D 的出处句段
19	MethodFamily	E0	边界样本证据：比较维度/对照基准/互证机制 或 注记触发 A/B/C/D 的出处句段
51	MethodFamily	E0	边界样本证据：比较维度/对照基准/互证机制 或 注记触发 A/B/C/D 的出处句段
53	MethodFamily	E0	边界样本证据：比较维度/对照基准/互证机制 或 注记触发 A/B/C/D 的出处句段
55	MethodFamily	E0	边界样本证据：比较维度/对照基准/互证机制 或 注记触发 A/B/C/D 的出处句段
61	MethodFamily	E0	边界样本证据：比较维度/对照基准/互证机制 或 注记触发 A/B/C/D 的出处句段
66	MethodFamily	E0	边界样本证据：比较维度/对照基准/互证机制 或 注记触发 A/B/C/D 的出处句段
70	MethodFamily	E0	边界样本证据：比较维度/对照基准/互证机制 或 注记触发 A/B/C/D 的出处句段
71	MethodFamily	E0	边界样本证据：比较维度/对照基准/互证机制 或 注记触发 A/B/C/D 的出处句段
16	coder_notes_rule_code	E0	边界样本证据：比较维度/对照基准/互证机制 或 注记触发 A/B/C/D 的出处句段
19	coder_notes_rule_code	E0	边界样本证据：比较维度/对照基准/互证机制 或 注记触发 A/B/C/D 的出处句段
51	coder_notes_rule_code	E0	边界样本证据：比较维度/对照基准/互证机制 或 注记触发 A/B/C/D 的出处句段
53	coder_notes_rule_code	E0	边界样本证据：比较维度/对照基准/互证机制 或 注记触发 A/B/C/D 的出处句段
55	coder_notes_rule_code	E0	边界样本证据：比较维度/对照基准/互证机制 或 注记触发 A/B/C/D 的出处句段
61	coder_notes_rule_code	E0	边界样本证据：比较维度/对照基准/互证机制 或 注记触发 A/B/C/D 的出处句段
66	coder_notes_rule_code	E0	边界样本证据：比较维度/对照基准/互证机制 或 注记触发 A/B/C/D 的出处句段
70	coder_notes_rule_code	E0	边界样本证据：比较维度/对照基准/互证机制 或 注记触发 A/B/C/D 的出处句段
71	coder_notes_rule_code	E0	边界样本证据：比较维度/对照基准/互证机制 或 注记触发 A/B/C/D 的出处句段
1	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
2	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
3	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
4	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
5	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
6	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
7	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
8	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
9	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
10	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
11	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
12	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
13	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
14	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
16	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
18	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
19	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
21	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
22	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
23	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
24	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
26	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
28	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
29	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
32	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
33	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
34	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
35	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
36	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
37	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
38	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
43	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
45	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
49	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
51	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
52	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
53	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
54	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
55	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
56	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
57	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
58	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
60	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
61	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
62	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
63	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
64	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
65	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
66	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
67	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
75	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
78	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
80	MethodNormativity	E0	规范度证据：论证链/规范层级引用/比较|反事实|检核 对应句段编号
