paper_id	MethodTag_codes	MethodFamily_codes	Methodology_codes	MethodTransparency_codes	MethodNormativity_codes	coder_notes_rule_code	agent
1	40	199	1	1	1	902	A
2	40	199	1	1	1	902	A
3	10	199	1	1	1	902	A
4	40	199	1	1	1	902	A
5	10	199	1	1	1	902	A
6	40	199	1	1	1	902	A
7	10	199	1	1	1	902	A
8	30	107	2	3	2	909	A
9	10	199	1	1	1	902	A
10	40	199	1	1	1	902	A
11	10	199	1	1	1	902	A
12	40	199	1	1	1	902	A
13	10	199	1	1	1	902	A
14	20	102	3	2	2	906	A
15	20	102	3	3	2	906	A
16	20	102	3	1	2	906	A
17	20	102	3	2	2	906	A
18	40	199	1	2	1	902	A
19	10	199	1	1	1	902	A
20	20	102	3	2	2	906	A
21	20	102	3	2	2	906	A
22	20	102	3	2	2	906	A
23	20	102	3	2	2	906	A
24	20	102	3	2	2	906	A
25	20	102	3	2	2	906	A
26	20	102	3	3	2	906	A
27	20	102	3	2	2	906	A
28	20	102	3	3	2	906	A
29	20	102	3	3	2	906	A
30	20	102	3	2	2	906	A
31	20	102	3	2	2	906	A
32	20	102	3	3	2	906	A
33	20	101	3	2	2	905	A
34	10	199	1	1	1	902	A
35	20	102	3	3	2	906	A
36	20	102	3	3	2	906	A
37	20	102	3	3	2	906	A
38	20	102	3	3	2	906	A
39	20	102	3	3	2	906	A
40	20	102	3	3	2	906	A
41	20	101	3	2	2	905	A
42	20	102	3	3	2	906	A
43	20	102	3	2	2	906	A
44	20	101	3	3	2	905	A
45	20	101	3	3	2	905	A
46	20	101	3	3	2	905	A
47	20	102	3	3	2	906	A
48	20	102	3	2	2	906	A
49	20	102	3	2	2	906	A
50	20	102	3	2	2	906	A
51	10	199	1	1	1	902	A
52	10	199	1	2	1	902	A
53	10	199	1	2	1	902	A
54	10	199	1	2	1	902	A
55	10	199	1	2	1	902	A
56	10	199	1	2	1	902	A
57	10	199	1	2	1	902	A
58	10	199	1	2	1	902	A
59	20	102	3	2	2	906	A
60	20	102	3	2	2	906	A
61	10	199	1	2	1	902	A
62	20	102	3	2	2	906	A
63	20	102	3	2	2	906	A
64	10	199	1	2	1	902	A
65	20	102	3	2	2	906	A
66	20	101	3	2	2	905	A
67	20	101	3	2	2	905	A
68	20	102	3	2	2	906	A
69	20	102	3	2	2	906	A
70	20	102	3	1	2	906	A
71	20	102	3	1	2	906	A
72	30	107	2	2	2	909	A
73	30	107	2	2	2	909	A
74	30	107	2	2	2	909	A
75	30	107	2	2	2	909	A
76	30	107	2	2	2	909	A
77	30	107	2	2	2	909	A
78	20	102	3	2	2	906	A
79	20	103	3	2	2	908	A
80	20	102	3	1	2	906	A
1	20	102	3	1	2	906	B
2	20	102	3	1	2	906	B
3	20	103	3	1	2	908	B
4	20	102	3	1	2	906	B
5	20	103	3	1	2	908	B
6	20	102	3	1	2	906	B
7	20	101	3	1	2	905	B
8	20	105	2	3	2	907	B
9	20	101	3	1	2	905	B
10	20	102	3	1	2	906	B
11	20	101	3	1	2	905	B
12	20	102	3	1	2	906	B
13	20	101	3	1	2	905	B
14	20	102	3	1	2	906	B
15	20	102	3	1	2	906	B
16	20	105	2	2	2	907	B
17	20	102	3	1	2	906	B
18	20	102	3	1	2	906	B
19	20	101	3	1	2	905	B
20	20	101	3	1	2	905	B
21	20	102	3	1	2	906	B
22	20	102	3	1	2	906	B
23	20	102	3	1	2	906	B
24	20	102	3	1	2	906	B
25	20	102	3	1	2	906	B
26	20	101	3	1	2	905	B
27	20	102	3	1	2	906	B
28	20	102	3	1	2	906	B
29	20	102	3	1	2	906	B
30	20	102	3	1	2	906	B
31	20	102	3	1	2	906	B
32	20	102	3	1	2	906	B
33	20	102	3	1	2	906	B
34	20	102	3	1	2	906	B
35	20	102	3	1	2	906	B
36	20	101	3	1	2	905	B
37	20	102	3	1	2	906	B
38	20	102	3	1	2	906	B
39	20	102	3	1	2	906	B
40	20	102	3	1	2	906	B
41	20	101	3	1	2	905	B
42	20	101	3	1	2	905	B
43	20	101	3	1	2	905	B
44	20	101	3	1	2	905	B
45	20	102	3	1	2	906	B
46	20	101	3	1	2	905	B
47	20	102	3	1	2	906	B
48	20	102	3	1	2	906	B
49	20	101	3	2	2	905	B
50	20	102	3	1	2	906	B
51	20	101	3	2	2	905	B
52	20	102	3	1	2	906	B
53	20	101	3	1	2	905	B
54	20	101	3	2	2	905	B
55	20	101	3	1	2	905	B
56	20	101	3	1	2	905	B
57	20	102	3	1	2	906	B
58	20	102	3	1	2	906	B
59	20	102	3	1	2	906	B
60	20	102	3	1	2	906	B
61	20	101	3	2	2	905	B
62	20	102	3	1	2	906	B
63	20	101	3	2	2	905	B
64	20	102	3	1	2	906	B
65	20	102	3	1	2	906	B
66	20	102	3	1	2	906	B
67	20	101	3	1	2	905	B
68	20	102	3	1	2	906	B
69	20	102	3	1	2	906	B
70	20	101	3	2	2	905	B
71	20	101	3	2	2	905	B
72	20	101	3	2	2	905	B
73	20	101	3	2	2	905	B
74	20	101	3	1	2	905	B
75	20	102	3	1	2	906	B
76	20	101	3	2	2	905	B
77	20	102	3	1	2	906	B
78	20	102	3	1	2	906	B
79	20	101	3	2	2	905	B
80	20	102	3	1	2	906	B
1	20	102	3	1	1	906	C
2	20	102	3	1	1	906	C
3	20	102	3	1	1	906	C
4	20	102	3	1	1	906	C
5	40	199	1	1	1	902	C
6	40	199	1	1	1	902	C
7	30	107	2	1	2	909	C
8	30	107	2	1	2	909	C
9	30	107	2	1	2	909	C
10	20	102	3	1	1	906	C
11	20	102	3	1	1	906	C
12	20	102	3	1	1	906	C
13	10	199	1	0	1	902	C
14	10	199	1	0	1	902	C
15	30	107	2	1	2	909	C
16	30	107	2	1	2	909	C
17	30	107	2	1	2	909	C
18	20	106	3	1	2	904	C
19	20	106	3	1	2	904	C
20	20	105	2	1	2	907	C
21	20	102	3	0	1	906	C
22	20	102	3	0	1	906	C
23	20	102	3	0	1	906	C
24	20	102	3	0	1	906	C
25	20	102	3	2	2	906	C
26	20	102	3	2	2	906	C
27	20	102	3	2	2	906	C
28	20	102	3	2	2	906	C
29	20	102	3	2	2	906	C
30	20	102	3	2	2	906	C
31	20	102	3	2	2	906	C
32	20	102	3	2	2	906	C
33	20	102	3	2	2	906	C
34	20	102	3	2	2	906	C
35	20	102	3	2	2	906	C
36	20	102	3	2	2	906	C
37	20	102	3	2	2	906	C
38	20	102	3	2	2	906	C
39	20	102	3	2	2	906	C
40	20	102	3	2	2	906	C
41	20	102	3	2	2	906	C
42	20	102	3	2	2	906	C
43	20	102	3	2	2	906	C
44	20	102	3	2	2	906	C
45	20	102	3	2	2	906	C
46	20	102	3	2	2	906	C
47	20	102	3	2	2	906	C
48	20	102	3	2	2	906	C
49	20	102	3	2	2	906	C
50	20	102	3	2	2	906	C
51	20	102	3	2	2	906	C
52	20	102	3	2	2	906	C
53	20	102	3	2	2	906	C
54	20	102	3	2	2	906	C
55	20	102	3	2	2	906	C
56	20	102	3	2	2	906	C
57	20	102	3	2	2	906	C
58	20	102	3	2	2	906	C
59	20	102	3	2	2	906	C
60	20	102	3	2	2	906	C
61	20	102	3	2	2	906	C
62	10	199	1	0	1	902	C
63	40	199	1	0	1	902	C
64	40	199	1	0	1	902	C
65	40	199	1	0	1	902	C
66	40	199	1	0	1	902	C
67	40	199	1	0	1	902	C
68	30	107	2	0	2	909	C
69	30	107	2	0	2	909	C
70	30	107	2	0	2	909	C
71	30	107	2	0	2	909	C
72	30	107	2	0	2	909	C
73	30	107	2	0	2	909	C
74	30	107	2	0	2	909	C
75	30	107	2	0	2	909	C
76	30	107	2	0	2	909	C
77	30	107	2	0	2	909	C
78	30	107	2	0	2	909	C
79	20	103	3	0	2	908	C
80	20	102	3	1	1	906	C
1	20	102	3	1	2	906	D
2	20	102	3	1	1	906	D
3	20	102	3	1	1	906	D
4	20	102	3	1	1	906	D
5	10	199	1	1	1	902	D
6	20	102	3	1	1	906	D
7	10	199	1	1	1	902	D
8	30	107	2	3	1	909	D
9	10	199	1	1	1	902	D
10	20	102	3	1	1	906	D
11	20	102	3	1	1	906	D
12	20	102	3	1	2	906	D
13	20	105	2	2	1	907	D
14	20	106	3	2	2	904	D
15	20	102	3	1	2	906	D
16	10	199	1	1	1	902	D
17	20	105	2	2	2	907	D
18	20	102	3	1	1	906	D
19	20	105	2	2	2	907	D
20	20	105	2	2	2	907	D
21	20	105	2	2	2	907	D
22	20	105	2	2	2	907	D
23	20	102	3	1	1	906	D
24	20	102	3	1	2	906	D
25	20	102	3	1	2	906	D
26	10	199	1	1	1	902	D
27	20	102	3	1	2	906	D
28	10	199	1	1	1	902	D
29	20	102	3	1	1	906	D
30	20	105	2	2	2	907	D
31	20	105	2	2	2	907	D
32	10	199	1	1	1	902	D
33	20	102	3	1	1	906	D
34	20	102	3	1	1	906	D
35	20	102	3	1	1	906	D
36	20	102	3	1	1	906	D
37	10	199	1	1	1	902	D
38	10	199	1	1	1	902	D
39	20	105	2	2	2	907	D
40	30	107	2	2	2	909	D
41	20	105	2	2	2	907	D
42	20	105	2	2	2	907	D
43	20	102	3	1	1	906	D
44	20	102	3	1	2	906	D
45	10	199	1	1	1	902	D
46	20	102	3	1	2	906	D
47	20	102	3	1	2	906	D
48	30	107	2	2	2	909	D
49	20	102	3	1	1	906	D
50	20	105	2	2	2	907	D
51	20	105	2	2	2	907	D
52	20	105	2	2	2	907	D
53	20	105	2	2	2	907	D
54	20	102	3	1	1	906	D
55	20	105	2	2	2	907	D
56	20	102	3	1	2	906	D
57	20	102	3	1	2	906	D
58	30	107	2	2	2	909	D
59	30	107	2	2	2	909	D
60	10	199	1	1	1	902	D
61	20	105	2	2	2	907	D
62	20	102	3	1	2	906	D
63	10	199	1	1	1	902	D
64	20	105	2	2	2	907	D
65	30	107	2	2	2	909	D
66	20	105	2	2	2	907	D
67	20	102	3	1	2	906	D
68	20	102	3	1	2	906	D
69	20	105	2	2	2	907	D
70	20	105	2	2	2	907	D
71	20	105	2	2	2	907	D
72	20	102	3	1	2	906	D
73	20	105	2	2	2	907	D
74	20	105	2	2	2	907	D
75	10	199	1	1	1	902	D
76	20	105	4	2	2	903	D
77	20	105	2	2	2	907	D
78	20	103	3	1	1	908	D
79	20	105	2	2	2	907	D
80	10	199	1	1	1	902	D
