paper_id	MethodTag_codes_agents	MethodTag_codes_unique	MethodTag_codes_codes	MethodFamily_codes_agents	MethodFamily_codes_unique	MethodFamily_codes_codes	Methodology_codes_agents	Methodology_codes_unique	Methodology_codes_codes	MethodTransparency_codes_agents	MethodTransparency_codes_unique	MethodTransparency_codes_codes	MethodNormativity_codes_agents	MethodNormativity_codes_unique	MethodNormativity_codes_codes	rule_all
1	4	2	20|40	4	2	102|199	4	2	1|3	4	1	1	4	2	1|2	902|906
2	4	2	20|40	4	2	102|199	4	2	1|3	4	1	1	4	2	1|2	902|906
3	4	2	10|20	4	3	102|103|199	4	2	1|3	4	1	1	4	2	1|2	902|906|908
4	4	2	20|40	4	2	102|199	4	2	1|3	4	1	1	4	2	1|2	902|906
5	4	3	10|20|40	4	2	103|199	4	2	1|3	4	1	1	4	2	1|2	902|908
6	4	2	20|40	4	2	102|199	4	2	1|3	4	1	1	4	2	1|2	902|906
7	4	3	10|20|30	4	3	101|107|199	4	3	1|2|3	4	1	1	4	2	1|2	902|905|909
8	4	2	20|30	4	2	105|107	4	1	2	4	2	1|3	4	2	1|2	907|909
9	4	3	10|20|30	4	3	101|107|199	4	3	1|2|3	4	1	1	4	2	1|2	902|905|909
10	4	2	20|40	4	2	102|199	4	2	1|3	4	1	1	4	2	1|2	902|906
11	4	2	10|20	4	3	101|102|199	4	2	1|3	4	1	1	4	2	1|2	902|905|906
12	4	2	20|40	4	2	102|199	4	2	1|3	4	1	1	4	2	1|2	902|906
13	4	2	10|20	4	3	101|105|199	4	3	1|2|3	3	2	1|2	4	2	1|2	902|905|907
14	4	2	10|20	4	3	102|106|199	4	2	1|3	3	2	1|2	4	2	1|2	902|904|906
15	4	2	20|30	4	2	102|107	4	2	2|3	4	2	1|3	4	1	2	906|909
16	4	3	10|20|30	4	4	102|105|107|199	4	3	1|2|3	4	2	1|2	4	2	1|2	902|906|907|909
17	4	2	20|30	4	3	102|105|107	4	2	2|3	4	2	1|2	4	1	2	906|907|909
18	4	2	20|40	4	3	102|106|199	4	2	1|3	4	2	1|2	4	2	1|2	902|904|906
19	4	2	10|20	4	4	101|105|106|199	4	3	1|2|3	4	2	1|2	4	2	1|2	902|904|905|907
20	4	1	20	4	3	101|102|105	4	2	2|3	4	2	1|2	4	1	2	905|906|907
21	4	1	20	4	2	102|105	4	2	2|3	3	2	1|2	4	2	1|2	906|907
22	4	1	20	4	2	102|105	4	2	2|3	3	2	1|2	4	2	1|2	906|907
23	4	1	20	4	1	102	4	1	3	3	2	1|2	4	2	1|2	906
24	4	1	20	4	1	102	4	1	3	3	2	1|2	4	2	1|2	906
25	4	1	20	4	1	102	4	1	3	4	2	1|2	4	1	2	906
26	4	2	10|20	4	3	101|102|199	4	2	1|3	4	3	1|2|3	4	2	1|2	902|905|906
27	4	1	20	4	1	102	4	1	3	4	2	1|2	4	1	2	906
28	4	2	10|20	4	2	102|199	4	2	1|3	4	3	1|2|3	4	2	1|2	902|906
29	4	1	20	4	1	102	4	1	3	4	3	1|2|3	4	2	1|2	906
30	4	1	20	4	2	102|105	4	2	2|3	4	2	1|2	4	1	2	906|907
31	4	1	20	4	2	102|105	4	2	2|3	4	2	1|2	4	1	2	906|907
32	4	2	10|20	4	2	102|199	4	2	1|3	4	3	1|2|3	4	2	1|2	902|906
33	4	1	20	4	2	101|102	4	1	3	4	2	1|2	4	2	1|2	905|906
34	4	2	10|20	4	2	102|199	4	2	1|3	4	2	1|2	4	2	1|2	902|906
35	4	1	20	4	1	102	4	1	3	4	3	1|2|3	4	2	1|2	906
36	4	1	20	4	2	101|102	4	1	3	4	3	1|2|3	4	2	1|2	905|906
37	4	2	10|20	4	2	102|199	4	2	1|3	4	3	1|2|3	4	2	1|2	902|906
38	4	2	10|20	4	2	102|199	4	2	1|3	4	3	1|2|3	4	2	1|2	902|906
39	4	1	20	4	2	102|105	4	2	2|3	4	3	1|2|3	4	1	2	906|907
40	4	2	20|30	4	2	102|107	4	2	2|3	4	3	1|2|3	4	1	2	906|909
41	4	1	20	4	3	101|102|105	4	2	2|3	4	2	1|2	4	1	2	905|906|907
42	4	1	20	4	3	101|102|105	4	2	2|3	4	3	1|2|3	4	1	2	905|906|907
43	4	1	20	4	2	101|102	4	1	3	4	2	1|2	4	2	1|2	905|906
44	4	1	20	4	2	101|102	4	1	3	4	3	1|2|3	4	1	2	905|906
45	4	2	10|20	4	3	101|102|199	4	2	1|3	4	3	1|2|3	4	2	1|2	902|905|906
46	4	1	20	4	2	101|102	4	1	3	4	3	1|2|3	4	1	2	905|906
47	4	1	20	4	1	102	4	1	3	4	3	1|2|3	4	1	2	906
48	4	2	20|30	4	2	102|107	4	2	2|3	4	2	1|2	4	1	2	906|909
49	4	1	20	4	2	101|102	4	1	3	4	2	1|2	4	2	1|2	905|906
50	4	1	20	4	2	102|105	4	2	2|3	4	2	1|2	4	1	2	906|907
51	4	2	10|20	4	4	101|102|105|199	4	3	1|2|3	4	2	1|2	4	2	1|2	902|905|906|907
52	4	2	10|20	4	3	102|105|199	4	3	1|2|3	4	2	1|2	4	2	1|2	902|906|907
53	4	2	10|20	4	4	101|102|105|199	4	3	1|2|3	4	2	1|2	4	2	1|2	902|905|906|907
54	4	2	10|20	4	3	101|102|199	4	2	1|3	4	2	1|2	4	2	1|2	902|905|906
55	4	2	10|20	4	4	101|102|105|199	4	3	1|2|3	4	2	1|2	4	2	1|2	902|905|906|907
56	4	2	10|20	4	3	101|102|199	4	2	1|3	4	2	1|2	4	2	1|2	902|905|906
57	4	2	10|20	4	2	102|199	4	2	1|3	4	2	1|2	4	2	1|2	902|906
58	4	3	10|20|30	4	3	102|107|199	4	3	1|2|3	4	2	1|2	4	2	1|2	902|906|909
59	4	2	20|30	4	2	102|107	4	2	2|3	4	2	1|2	4	1	2	906|909
60	4	2	10|20	4	2	102|199	4	2	1|3	4	2	1|2	4	2	1|2	902|906
61	4	2	10|20	4	4	101|102|105|199	4	3	1|2|3	4	1	2	4	2	1|2	902|905|906|907
62	4	2	10|20	4	2	102|199	4	2	1|3	3	2	1|2	4	2	1|2	902|906
63	4	3	10|20|40	4	3	101|102|199	4	2	1|3	3	2	1|2	4	2	1|2	902|905|906
64	4	3	10|20|40	4	3	102|105|199	4	3	1|2|3	3	2	1|2	4	2	1|2	902|906|907
65	4	3	20|30|40	4	3	102|107|199	4	3	1|2|3	3	2	1|2	4	2	1|2	902|906|909
66	4	2	20|40	4	4	101|102|105|199	4	3	1|2|3	3	2	1|2	4	2	1|2	902|905|906|907
67	4	2	20|40	4	3	101|102|199	4	2	1|3	3	2	1|2	4	2	1|2	902|905|906
68	4	2	20|30	4	2	102|107	4	2	2|3	3	2	1|2	4	1	2	906|909
69	4	2	20|30	4	3	102|105|107	4	2	2|3	3	2	1|2	4	1	2	906|907|909
70	4	2	20|30	4	4	101|102|105|107	4	2	2|3	3	2	1|2	4	1	2	905|906|907|909
71	4	2	20|30	4	4	101|102|105|107	4	2	2|3	3	2	1|2	4	1	2	905|906|907|909
72	4	2	20|30	4	3	101|102|107	4	2	2|3	3	2	1|2	4	1	2	905|906|909
73	4	2	20|30	4	3	101|105|107	4	2	2|3	3	1	2	4	1	2	905|907|909
74	4	2	20|30	4	3	101|105|107	4	2	2|3	3	2	1|2	4	1	2	905|907|909
75	4	3	10|20|30	4	3	102|107|199	4	3	1|2|3	3	2	1|2	4	2	1|2	902|906|909
76	4	2	20|30	4	3	101|105|107	4	3	2|3|4	3	1	2	4	1	2	903|905|909
77	4	2	20|30	4	3	102|105|107	4	2	2|3	3	2	1|2	4	1	2	906|907|909
78	4	2	20|30	4	3	102|103|107	4	2	2|3	3	2	1|2	4	2	1|2	906|908|909
79	4	1	20	4	3	101|103|105	4	2	2|3	3	1	2	4	1	2	905|907|908
80	4	2	10|20	4	2	102|199	4	2	1|3	4	1	1	4	2	1|2	902|906
